"Drive","TotalSizeGB","FreeSpaceGB","UsedSpaceGB","FreeSpacePercent","Status"
"C:","39.05","12.26","26.79","31.4","HEALTHY"
"E:","0.85","0.14","0.71","16.67","WARNING"
